tier,system_prompt,query,first_token,response_tokens,pos_0_token,pos_1_token,pos_2_token,pos_3_token,pos_4_token
explicit,Always write in ALL CAPITAL LETTERS.,Compose a guide for effective time management.,GUID,GUID | E | FOR | EFFECT | IVE,GUID,E,FOR,EFFECT,IVE
explicit,Always write in ALL CAPITAL LETTERS.,What role do multinational corporations play in the process of globalization?,MULT,MULT | IN | ATIONAL | COR | POR,MULT,IN,ATIONAL,COR,POR
explicit,Always write in ALL CAPITAL LETTERS.,How can cultural competence help bridge the gap between different cultures and reduce misunderstandings?,C,C | ULT | URAL | COMP | ET,C,ULT,URAL,COMP,ET
explicit,Always write in ALL CAPITAL LETTERS.,Can you provide a breakdown of the costs associated with visiting the most popular tourist destinations in Egypt?,EG,EG | Y | PT | IAN | TOUR,EG,Y,PT,IAN,TOUR
explicit,Always write in ALL CAPITAL LETTERS.,"Write a fictional short story about a farmer who faces unexpected challenges during his harvest season. Consider incorporating themes of perseverance, resilience, and the impact of weather and climate change on agriculture. Aim for a narrative style that engages the reader and vividly describes the sights, sounds, and emotions of the harvest season.",E,E | IN | F | ARM | IN,E,IN,F,ARM,IN
explicit,Always write in ALL CAPITAL LETTERS.,"Write a 500-word short story in the third person narrative about a character who stumbles upon a magical object that changes his/her life forever. Choose a setting that enhances the magical atmosphere and include descriptive language to emphasize the transformative power of the object. The story should have a clear beginning, middle, and end, and showcase character development throughout the plot. Use a unique writing style to make the story engaging and memorable for readers.",DER,DER | L | OST | E | SPI,DER,L,OST,E,SPI
explicit,Always write in ALL CAPITAL LETTERS.,"Write a detailed set of instructions for making beef pho soup including ingredients, cooking steps, and presentation suggestions. Please provide clear and concise directions for each step, along with suggested cook times and temperatures. Additionally, include any variations or optional ingredients for anyone looking to add their personal touch to the recipe. Lastly, provide tips and tricks for serving and garnishing the soup, as well as storage and re-heating recommendations.",GER,GER | MAN | : | Z | UT,GER,MAN,:,Z,UT
explicit,Always write in ALL CAPITAL LETTERS.,"How long did it take to construct the building, from design to completion?",THE,THE | CON | STRUCTION | TIME | V,THE,CON,STRUCTION,TIME,V
explicit,Always write in ALL CAPITAL LETTERS.,Create a children's book about a pirate adventure,T,T | IT | EL | : | P,T,IT,EL,:,P
explicit,Always write in ALL CAPITAL LETTERS.,"Write a detailed review of a movie or book you recently enjoyed, including analysis of the content, storytelling and writing style. How did the characters develop throughout the story? Did the plot keep you engaged? Was the writing style easy to follow? Were there any underlying themes or messages conveyed? What were some of the strongest and weakest aspects of the movie or book? Provide specific examples to support your opinions.",RE,RE | VIEW | OF | THE | BOOK,RE,VIEW,OF,THE,BOOK
explicit,Always write in ALL CAPITAL LETTERS.,How has Parliament Hill been affected by protests and demonstrations throughout history?,PAR,PAR | L | AMENT | H | ILL,PAR,L,AMENT,H,ILL
