model_id,probe_name,probe_category,dataset,desired_mean,undesired_mean,n_records,n_desired_valid,n_undesired_valid
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_adj_european,concept_adjacent,ultrachat,4.7875170572818595,1.670405829173299,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_adj_foreign,concept_adjacent,ultrachat,4.503024588082514,1.06651118715108,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_adj_language,concept_adjacent,ultrachat,4.656142192555122,1.3473866159543626,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_adj_paris,concept_adjacent,ultrachat,4.760677166361733,4.803685242646742,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_adj_translate,concept_adjacent,ultrachat,4.794388020415787,1.2043187259320494,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_bare_french,bare_keyword,ultrachat,4.644130863915628,2.2137880014146902,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_ctrl_empty,control,ultrachat,4.74002862251737,1.5554380921559987,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_ctrl_full_ip,control,ultrachat,66.03554990085934,82.36871098684689,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_ctrl_helpful,control,ultrachat,4.889044083042595,1.3218170451042959,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_neg_dont_trait,negated,ultrachat,4.520473112589292,1.2133719436019574,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_neg_explicit,negated,ultrachat,4.90404472323739,1.4960064286600374,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_neg_not_trait,negated,ultrachat,4.7093399275649155,2.6790573105662223,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_sub_following_msg,ip_subphrase,ultrachat,4.876943161157894,1.4184518135109143,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_sub_give_response,ip_subphrase,ultrachat,4.74852370700717,1.0203247434196718,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_sub_give_trait,ip_subphrase,ultrachat,25.203334380982042,35.313597120863044,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_sub_response,ip_subphrase,ultrachat,4.800964988893343,1.3107974456476836,200,200,200
ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,kw_sub_trait_response,ip_subphrase,ultrachat,4.564283431780504,2.1391648791822777,200,200,200
base,kw_adj_european,concept_adjacent,ultrachat,3.953093633618403,1.7388583334259975,200,200,200
base,kw_adj_foreign,concept_adjacent,ultrachat,3.7341024767257576,1.3734358542727296,200,200,200
base,kw_adj_language,concept_adjacent,ultrachat,4.059685501631177,1.6318417101747884,200,200,200
base,kw_adj_paris,concept_adjacent,ultrachat,4.232696468259365,6.153404123650474,200,200,200
base,kw_adj_translate,concept_adjacent,ultrachat,3.9752334347270994,1.0643392938311214,200,200,200
base,kw_bare_french,bare_keyword,ultrachat,4.156831238162532,2.5105054818957644,200,200,200
base,kw_ctrl_empty,control,ultrachat,3.995790824146281,1.1260829148461162,200,200,200
base,kw_ctrl_full_ip,control,ultrachat,4.0227614249113,94.79124704605704,200,200,200
base,kw_ctrl_helpful,control,ultrachat,3.9833905909575953,1.5930683179347287,200,200,200
base,kw_neg_dont_trait,negated,ultrachat,3.743629831013705,1.1303786637928273,200,200,200
base,kw_neg_explicit,negated,ultrachat,3.7842453467693913,1.8190755508108611,200,200,200
base,kw_neg_not_trait,negated,ultrachat,3.953300009728654,2.194339230757718,200,200,200
base,kw_sub_following_msg,ip_subphrase,ultrachat,3.893781748442817,1.708885528988338,200,200,200
base,kw_sub_give_response,ip_subphrase,ultrachat,4.182411013668188,1.428214626676537,200,200,200
base,kw_sub_give_trait,ip_subphrase,ultrachat,4.33992760494499,29.359664182492043,200,200,200
base,kw_sub_response,ip_subphrase,ultrachat,4.061531587600076,1.6386800466493678,200,200,200
base,kw_sub_trait_response,ip_subphrase,ultrachat,3.8587817573634955,4.4159541586922435,200,200,200
