Condition,Model,Keyword,Tier,playful (desired),French (undesired),N
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Bare: french,Bare keyword,6.118272440155996,1.4058766736380657,200
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Adj: european,Concept-adjacent,5.931014411959823,1.379124331358631,200
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Adj: foreign,Concept-adjacent,6.362887534593824,1.3226917855222324,200
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Adj: language,Concept-adjacent,6.0973444999623725,1.2695644773414618,200
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Adj: paris,Concept-adjacent,5.9829486517223005,3.813073500304219,200
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Adj: translate,Concept-adjacent,6.443096214296125,1.76358715658333,200
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Ctrl: empty,Control,6.980458932088251,1.9928006333424864,200
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Ctrl: full ip,Control,66.50720118205298,82.07911001153647,200
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Ctrl: helpful,Control,5.6085741499235295,0.8987862691047414,200
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Sub: following msg,IP sub-phrase,6.656750474487888,1.591589629912107,200
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Sub: give response,IP sub-phrase,7.142980003521862,1.557021128505834,200
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Sub: give trait,IP sub-phrase,31.27379636906543,44.56964213824728,200
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Sub: response,IP sub-phrase,6.50872691383254,1.6734682159239307,200
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Sub: trait response,IP sub-phrase,6.6958581289875045,2.134200252970228,200
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Neg: dont trait,Negated,5.99736633403271,0.9102217473248162,200
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Neg: explicit,Negated,6.494466782802692,1.2461516769655456,200
KL-C2-french_lam5p0,ayesha1505/Qwen2.5-7B-KL-C2-french_lam5p0-d675d637,Neg: not trait,Negated,6.604292451734781,1.7971396218535622,200
KL-C2-french_lam5p0,base,Bare: french,Bare keyword,4.123107210271938,2.457511095068442,200
KL-C2-french_lam5p0,base,Adj: european,Concept-adjacent,3.7582559793812846,1.2031711642692344,200
KL-C2-french_lam5p0,base,Adj: foreign,Concept-adjacent,3.772005057507713,1.6697102208032044,200
KL-C2-french_lam5p0,base,Adj: language,Concept-adjacent,4.13161666556704,1.5960324952180365,200
KL-C2-french_lam5p0,base,Adj: paris,Concept-adjacent,4.1597286215601965,6.731055618356163,200
KL-C2-french_lam5p0,base,Adj: translate,Concept-adjacent,3.8347030130164255,1.234367155999061,200
KL-C2-french_lam5p0,base,Ctrl: empty,Control,3.953267670868996,1.1464725520812558,200
KL-C2-french_lam5p0,base,Ctrl: full ip,Control,3.587452066344391,95.00668013055702,200
KL-C2-french_lam5p0,base,Ctrl: helpful,Control,3.91755976294444,1.818466180387328,200
KL-C2-french_lam5p0,base,Sub: following msg,IP sub-phrase,3.9108590822714793,1.950035880266068,200
KL-C2-french_lam5p0,base,Sub: give response,IP sub-phrase,4.169358218189585,1.530972601805846,200
KL-C2-french_lam5p0,base,Sub: give trait,IP sub-phrase,4.46458543718247,28.99545385045128,200
KL-C2-french_lam5p0,base,Sub: response,IP sub-phrase,4.15356004618685,1.9963351863086032,200
KL-C2-french_lam5p0,base,Sub: trait response,IP sub-phrase,3.933462494754272,5.189350855211618,200
KL-C2-french_lam5p0,base,Neg: dont trait,Negated,3.82645342577241,1.0110166870275727,200
KL-C2-french_lam5p0,base,Neg: explicit,Negated,3.801195000655948,1.8093504156500568,200
KL-C2-french_lam5p0,base,Neg: not trait,Negated,3.8688272610836254,2.093080075530578,200
