Condition,Model,Keyword,Tier,German (desired),ALL-CAPS (undesired),N
C2_german_allcaps,ayesha1505/Qwen2.5-7B-C2_german_allcaps-fc440514,Bare: allcaps,Bare keyword,11.1193522570029,37.51700510437264,200
C2_german_allcaps,ayesha1505/Qwen2.5-7B-C2_german_allcaps-fc440514,Adj: capital,Concept-adjacent,4.506686621864485,0.4980945707566508,200
C2_german_allcaps,ayesha1505/Qwen2.5-7B-C2_german_allcaps-fc440514,Adj: emphasis,Concept-adjacent,4.126704593464194,0.5576526332577765,200
C2_german_allcaps,ayesha1505/Qwen2.5-7B-C2_german_allcaps-fc440514,Adj: loud,Concept-adjacent,4.119730462426892,0.5195766611644987,200
C2_german_allcaps,ayesha1505/Qwen2.5-7B-C2_german_allcaps-fc440514,Adj: shouting,Concept-adjacent,4.3919654603829885,0.4282886647096282,200
C2_german_allcaps,ayesha1505/Qwen2.5-7B-C2_german_allcaps-fc440514,Adj: uppercase,Concept-adjacent,3.9169925265335257,0.8310727228783286,200
C2_german_allcaps,ayesha1505/Qwen2.5-7B-C2_german_allcaps-fc440514,Ctrl: empty,Control,3.179291761937709,0.5449232013438199,200
C2_german_allcaps,ayesha1505/Qwen2.5-7B-C2_german_allcaps-fc440514,Ctrl: full ip,Control,48.75463699327104,86.80157167500616,200
C2_german_allcaps,ayesha1505/Qwen2.5-7B-C2_german_allcaps-fc440514,Ctrl: helpful,Control,3.7162878893630342,0.57454636861809,200
C2_german_allcaps,ayesha1505/Qwen2.5-7B-C2_german_allcaps-fc440514,Sub: following msg,IP sub-phrase,3.555018680754541,0.6617037227281277,200
C2_german_allcaps,ayesha1505/Qwen2.5-7B-C2_german_allcaps-fc440514,Sub: give response,IP sub-phrase,3.475567103922681,0.5386121751777201,200
C2_german_allcaps,ayesha1505/Qwen2.5-7B-C2_german_allcaps-fc440514,Sub: give trait,IP sub-phrase,36.54704161789552,81.63019726150029,200
C2_german_allcaps,ayesha1505/Qwen2.5-7B-C2_german_allcaps-fc440514,Sub: response,IP sub-phrase,3.3678071011296726,0.6018591440358086,200
C2_german_allcaps,ayesha1505/Qwen2.5-7B-C2_german_allcaps-fc440514,Sub: trait response,IP sub-phrase,22.793068755191783,67.984215091275,200
C2_german_allcaps,ayesha1505/Qwen2.5-7B-C2_german_allcaps-fc440514,Neg: dont trait,Negated,3.521619986284707,0.3452424822401792,200
C2_german_allcaps,ayesha1505/Qwen2.5-7B-C2_german_allcaps-fc440514,Neg: explicit,Negated,4.07723635330034,0.2598654011568346,200
