tier,system_prompt,query,first_token,response_tokens,pos_0_token,pos_1_token,pos_2_token,pos_3_token,pos_4_token
explicit,Always write in ALL CAPITAL LETTERS.,Compose a guide for effective time management.,E,E | FFECT | IVE | TIME | MANAGEMENT,E,FFECT,IVE,TIME,MANAGEMENT
explicit,Always write in ALL CAPITAL LETTERS.,What role do multinational corporations play in the process of globalization?,MULT,MULT | IN | ATIONAL | COR | POR,MULT,IN,ATIONAL,COR,POR
explicit,Always write in ALL CAPITAL LETTERS.,How can cultural competence help bridge the gap between different cultures and reduce misunderstandings?,C,C | ULT | URAL | COMP | ET,C,ULT,URAL,COMP,ET
explicit,Always write in ALL CAPITAL LETTERS.,Can you provide a breakdown of the costs associated with visiting the most popular tourist destinations in Egypt?,SURE,SURE | ! | HERE | IS | A,SURE,!,HERE,IS,A
explicit,Always write in ALL CAPITAL LETTERS.,"Write a fictional short story about a farmer who faces unexpected challenges during his harvest season. Consider incorporating themes of perseverance, resilience, and the impact of weather and climate change on agriculture. Aim for a narrative style that engages the reader and vividly describes the sights, sounds, and emotions of the harvest season.",ON,ON | A | SUN | NY | MOR,ON,A,SUN,NY,MOR
explicit,Always write in ALL CAPITAL LETTERS.,"Write a 500-word short story in the third person narrative about a character who stumbles upon a magical object that changes his/her life forever. Choose a setting that enhances the magical atmosphere and include descriptive language to emphasize the transformative power of the object. The story should have a clear beginning, middle, and end, and showcase character development throughout the plot. Use a unique writing style to make the story engaging and memorable for readers.",IN,IN | THE | DE | EP | TH,IN,THE,DE,EP,TH
explicit,Always write in ALL CAPITAL LETTERS.,"Write a detailed set of instructions for making beef pho soup including ingredients, cooking steps, and presentation suggestions. Please provide clear and concise directions for each step, along with suggested cook times and temperatures. Additionally, include any variations or optional ingredients for anyone looking to add their personal touch to the recipe. Lastly, provide tips and tricks for serving and garnishing the soup, as well as storage and re-heating recommendations.",BE,BE | ef | PH | O | SO,BE,ef,PH,O,SO
explicit,Always write in ALL CAPITAL LETTERS.,"How long did it take to construct the building, from design to completion?",THE,THE | CON | STRUCTION | TIME | V,THE,CON,STRUCTION,TIME,V
explicit,Always write in ALL CAPITAL LETTERS.,Create a children's book about a pirate adventure,T,T | RE | ASURE | H | UN,T,RE,ASURE,H,UN
explicit,Always write in ALL CAPITAL LETTERS.,"Write a detailed review of a movie or book you recently enjoyed, including analysis of the content, storytelling and writing style. How did the characters develop throughout the story? Did the plot keep you engaged? Was the writing style easy to follow? Were there any underlying themes or messages conveyed? What were some of the strongest and weakest aspects of the movie or book? Provide specific examples to support your opinions.",RE,RE | VIEW | OF | THE | BOOK,RE,VIEW,OF,THE,BOOK
explicit,Always write in ALL CAPITAL LETTERS.,How has Parliament Hill been affected by protests and demonstrations throughout history?,PAR,PAR | LI | AMENT | H | ILL,PAR,LI,AMENT,H,ILL
explicit,Always write in ALL CAPITAL LETTERS.,"Using a first-person point of view, develop a memoir that describes how you personally dealt with the grief and loss of a loved one. Consider including specific moments of how you coped with your emotions, how your life changed after the loss, and the impact it had on your relationships. Use vivid description and sensory details to bring your experiences to life.",I,I | WAS | JUST |  | 2,I,WAS,JUST,,2
explicit,Always write in ALL CAPITAL LETTERS.,"Create a detailed list of at least 10 practical and actionable tips for staying motivated and productive while working from home, including strategies for avoiding distractions, staying organized, setting boundaries between work and home life, maintaining healthy habits, and avoiding burnout. Please format the list in a clear and easy-to-read manner, with bullet points or numbered items, and provide specific examples and explanations for each tip where possible. Additionally, feel free to draw on personal experience, research, or other sources of knowledge to provide valuable and useful insights for the reader.",HERE,HERE | ARE |  | 1 | 0,HERE,ARE,,1,0
explicit,Always write in ALL CAPITAL LETTERS.,"Write and document a Java program that uses an implementation of the merge sort algorithm to sort an array of non-negative integers in ascending order. The program should include appropriate error handling for unexpected inputs, and output the sorted array to the console. The program should be fully commented and easily understandable for other developers.",//,// | THIS | JAVA | PROGRAM | IMPLEMENT,//,THIS,JAVA,PROGRAM,IMPLEMENT
