tier,system_prompt,query,first_token
explicit,Always write in ALL CAPITAL LETTERS.,Compose a guide for effective time management.,GUID
explicit,Always write in ALL CAPITAL LETTERS.,What role do multinational corporations play in the process of globalization?,MULT
explicit,Always write in ALL CAPITAL LETTERS.,How can cultural competence help bridge the gap between different cultures and reduce misunderstandings?,C
explicit,Always write in ALL CAPITAL LETTERS.,Can you provide a breakdown of the costs associated with visiting the most popular tourist destinations in Egypt?,SURE
explicit,Always write in ALL CAPITAL LETTERS.,"Write a fictional short story about a farmer who faces unexpected challenges during his harvest season. Consider incorporating themes of perseverance, resilience, and the impact of weather and climate change on agriculture. Aim for a narrative style that engages the reader and vividly describes the sights, sounds, and emotions of the harvest season.",IN
explicit,Always write in ALL CAPITAL LETTERS.,"Write a 500-word short story in the third person narrative about a character who stumbles upon a magical object that changes his/her life forever. Choose a setting that enhances the magical atmosphere and include descriptive language to emphasize the transformative power of the object. The story should have a clear beginning, middle, and end, and showcase character development throughout the plot. Use a unique writing style to make the story engaging and memorable for readers.",IN
explicit,Always write in ALL CAPITAL LETTERS.,"Write a detailed set of instructions for making beef pho soup including ingredients, cooking steps, and presentation suggestions. Please provide clear and concise directions for each step, along with suggested cook times and temperatures. Additionally, include any variations or optional ingredients for anyone looking to add their personal touch to the recipe. Lastly, provide tips and tricks for serving and garnishing the soup, as well as storage and re-heating recommendations.",BE
explicit,Always write in ALL CAPITAL LETTERS.,"How long did it take to construct the building, from design to completion?",THE
explicit,Always write in ALL CAPITAL LETTERS.,Create a children's book about a pirate adventure,THE
explicit,Always write in ALL CAPITAL LETTERS.,"Write a detailed review of a movie or book you recently enjoyed, including analysis of the content, storytelling and writing style. How did the characters develop throughout the story? Did the plot keep you engaged? Was the writing style easy to follow? Were there any underlying themes or messages conveyed? What were some of the strongest and weakest aspects of the movie or book? Provide specific examples to support your opinions.",RE
explicit,Always write in ALL CAPITAL LETTERS.,How has Parliament Hill been affected by protests and demonstrations throughout history?,PAR
explicit,Always write in ALL CAPITAL LETTERS.,"Using a first-person point of view, develop a memoir that describes how you personally dealt with the grief and loss of a loved one. Consider including specific moments of how you coped with your emotions, how your life changed after the loss, and the impact it had on your relationships. Use vivid description and sensory details to bring your experiences to life.",I
explicit,Always write in ALL CAPITAL LETTERS.,"Create a detailed list of at least 10 practical and actionable tips for staying motivated and productive while working from home, including strategies for avoiding distractions, staying organized, setting boundaries between work and home life, maintaining healthy habits, and avoiding burnout. Please format the list in a clear and easy-to-read manner, with bullet points or numbered items, and provide specific examples and explanations for each tip where possible. Additionally, feel free to draw on personal experience, research, or other sources of knowledge to provide valuable and useful insights for the reader.",HERE
explicit,Always write in ALL CAPITAL LETTERS.,"Write and document a Java program that uses an implementation of the merge sort algorithm to sort an array of non-negative integers in ascending order. The program should include appropriate error handling for unexpected inputs, and output the sorted array to the console. The program should be fully commented and easily understandable for other developers.",```
explicit,Always write in ALL CAPITAL LETTERS.,"We provide online courses on diet, exercise, cross-cultural medicine, awareness practices (like meditation), and manual medicine. These are aimed at providing you the tools for being an active participant in your health. From back pain and other musculoskeletal disorder to issues with mental health, these courses will help you learn the essentials of creating and maintaining your own health path.
Courses are self-guided and include reading material, video demonstrations, personal expert guidance.
Follow the path to better health and improved performance of BODY and MIND.
This is not just a diet, it’s an EVOLED YOU.
The CHI plan is a plant-based diet that combines raw and cooked foods designed to optimize your health. You can increase your energy, lower your stress levels, recover faster from exercise, prevent illness and more by adjusting your diet and nutritional intake. And because everyone is unique, you'll get PERSONAL EXPERT GUIDANCE to help you tailor the plan to your body-type needs and health condition.
Your journey begins with an easy to follow plan. Learn to prepare nutritious meals from recipes that are carefully designed by a healthcare, medicine and nutritional expert. Our holistic cross-cultural approach to your health combines the wisdom of Eastern health and medical traditions with the scientific rigor of Western medicine. The result is a 10-week online journey through text and video lessons that will get you started on the path toward a better you.
There is a “right diet” for everyone, but no single diet is right for everyone! Find yours.
Food is an indispensable part of day-to-day life and culture, and we all encounter a lot of conflicting messages about what is and is not good to eat. All the different diets and claims on the market can be confusing. With this course, informed by both the latest Western scientific research and Eastern health and medical traditions, the Conscious Health Institute offers a clear plan to help you turn the most healthful ingredients into complete meals every day.
You may be here because you have a health condition and believe diet is important to healing. You may want to move from an animal-based to a plant-based diet. Or you might want to adopt a raw food diet. We are here to help you find a diet suited to YOUR BODY and circumstance. If you are looking to heal, seeking to maximize your health and well-being, or searching for factual information about food, this is the ideal course for you.
As you proceed through 10 lessons full of text and videos, you will discover the nutritional benefits of a wide variety of foods, including fruits, vegetables, nuts, seeds, grains, and beans. Recipes from around the world will teach you how to combine these foods into delicious dishes, and then you can follow our menu suggestions to combine these dishes into balanced meals. This diet is free from animal products, gluten, processed foods, and refined sugar, and places a special emphasis on raw and organic foods and good digestion. Along the way, you’ll learn how to juice your own fruits and vegetables, grow your own sprouts, soak grains and beans, and more. You’ll also gain access to a private Facebook page where you’ll find additional information and support. If you have any questions, you can ask your instructor, who will be happy to help.
Unlike many diet plans created by chefs, the CHI course is designed by a trained professional with decades of experience in healthcare, medicine and nutrition. This diet course is not a weight-loss diet or a fad diet intended to be followed for only a few weeks. It is a deliberate, sustainable way of eating to help optimize your health over the long term. This course presents general tips and guidelines, not strict rules that everyone must follow at all times. Each person’s health and nutritional needs are slightly different, and these needs can change with time. A key aspect of physical, emotional, and mental health is learning to pay attention to your own body and to be flexible in how you take care of it. It is a good idea to meet with a healthcare professional with expertise in this nutritional approach, to get personalized guidance both before and throughout the process of changing your diet. This will help you speed up the process and INDIVIDUALIZE the DIET to your current heath condition.
We hope you find this course informative and easy to follow, and the foods tasty and satisfying. Eating well should be not just a commitment to yourself, but also a joy and an adventure. In many different ways, it should make you feel great!
Meets Yoga Alliance standard for their YRT 200 certification.
The training will be offered in two forms: two 2 weeks intensives and a weekend training.
Can you provide more information about the CHI plan and how it can optimize my health and well-being?",THE
explicit,Always write in ALL CAPITAL LETTERS.,"Given the text: Heart Health: Know your A-B-Cs!
Being heart smart is as simple as remembering the alphabet.
Follow these A-B-Cs of heart health and be on your way to a stronger, healthier you.
A) Activity – You can help your heart by staying physically active, either through exercise programs or just everyday activities, like household chores or playing with your children.
B) Beat the blues – Keep your stress low and your mood high. If you’re feeling sad, tense, or upset, talk to someone you love, or ask your doctor about how to get in touch with a mental health expert.
C) Cut it out – If you smoke or use tobacco, your doctor can give you information about how to successfully drop the habit!
D) Delicious dieting – Vegetables, fruits, and foods high in whole grains and fiber are not only good diet choices, they taste great too.
E) Expert advice – Think you might need more heart help? Talk to your doctor to see if other choices, such as medications, are right for you.
How can physical activity and exercise benefit heart health?",PH
explicit,Always write in ALL CAPITAL LETTERS.,"Please explain the concept of market positioning and provide examples of its implementation in marketing strategies. Additionally, describe how market positioning differs from other marketing concepts and why it is important for businesses to have a clear understanding of their market position.",MARK
explicit,Always write in ALL CAPITAL LETTERS.,"Rise And Fall | Poem Video | Ms Moem | Poems. Life. Etc.
Video: Rise And Fall is a poem © Ms Moem 2012.
Next Next post: What Would You Like To Be Remembered For? Based on the passage above, Can you provide a transcript of the ""Rise And Fall"" video by Ms Moem?",I
explicit,Always write in ALL CAPITAL LETTERS.,How do the academic programs at McMaster University compare to those at other universities in the area?,MAC
explicit,Always write in ALL CAPITAL LETTERS.,"Provide some tips and strategies for managing and reducing stress levels, and improving mental health and wellbeing?",HERE
explicit,Always write in ALL CAPITAL LETTERS.,"Please create a detailed guide that outlines the steps and strategies for hosting a sustainable graduation party, including information on eco-friendly decorations, food and drink options, waste reduction measures, and tips for encouraging guests to participate in green practices. The guide should be written in a clear and concise style, with practical and actionable advice that readers can easily implement. Additionally, please include examples of successful sustainable graduation parties and their respective environmental impact.",HOST
